longitude,latitude,sif_mean_735,sif_mean_743,B_REFL_mean,COMP_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,RAA_mean,R_REFL_mean,SZA_mean,VIQ_mean,VZA_mean
-100.4112456334,49.6999773266,0.362141,0.506127,555.000000,157.000000,2262.166667,2169.859649,3813.157895,2372.973684,,12086.100000,1054.561404,2933.138889,,239.151786
-99.6774800441,49.6999773266,0.475294,0.623393,471.801802,157.000000,2327.955357,2156.044643,4188.410714,2224.696429,1.000000,12286.018868,907.809091,2905.441860,2181.000000,745.518519
-99.6316196948,49.6999773266,0.499850,0.650666,454.477477,157.000000,2366.607143,2025.223214,4323.928571,2186.125000,,12264.830189,864.763636,2911.435897,,730.482143
-99.1730162014,49.6999773266,0.617711,0.765555,380.531532,,2724.530435,1312.547826,5153.069565,2174.543860,,12310.637255,700.752212,2909.785714,,976.356522
-99.1271558521,49.6999773266,0.686132,0.834360,350.412844,,2790.192982,1197.614035,5369.456140,2143.294643,,12289.469388,646.936937,2909.187500,,1004.561404
-98.7144127081,49.6999773266,0.563279,0.761942,411.743363,149.000000,2528.929825,2253.973684,4617.657895,2225.622807,,11922.861702,805.675439,2861.051282,,1568.186275
-94.8621433644,49.6999773266,0.429910,0.511263,237.491071,,2527.407080,682.991150,5990.910714,1696.839286,,-5132.677419,416.758929,3038.700000,5622.857143,1137.424779
-94.8162830151,49.6999773266,0.387630,0.491923,204.446429,,2133.298246,598.754386,5704.469027,1432.920354,,-5127.333333,367.254386,3037.151515,5330.285714,1109.210526
-94.7704226657,49.6999773266,0.356070,0.449761,192.318584,,1940.543860,532.678261,5521.617391,1299.713043,,-5128.406250,336.182609,3036.111111,5696.000000,1081.226087
-94.6787019671,49.6999773266,0.352871,0.496681,207.796460,,2113.469027,588.763158,5652.743363,1427.194690,,-5143.047619,375.116071,3033.536585,5184.000000,1025.456140
-94.6328416177,49.6999773266,0.317743,0.453836,219.721739,,2342.478261,656.382609,5811.582609,1583.113043,,-5165.120370,399.765217,3032.538462,5388.800000,997.643478
-94.5411209191,49.6999773266,0.242455,0.309872,181.054054,151.000000,1490.660714,385.637168,4537.017699,1002.294643,,-5171.615385,282.400000,3043.225000,4844.000000,1059.160714
-94.4952605697,49.6999773266,0.333922,0.388653,181.187500,150.333333,1273.428571,335.419643,4190.318584,862.575221,,-5182.673469,265.598214,3040.425000,4570.400000,999.446429
-94.4494002204,49.6999773266,0.514331,0.532639,201.589286,149.000000,1599.885965,425.460177,4660.842105,1093.140351,,-5193.483871,306.566372,3030.804878,3750.400000,916.592920
-94.4035398711,49.6999773266,0.524515,0.541563,205.214286,152.000000,1947.165217,481.600000,5256.114035,1298.982609,,-5018.051020,330.184211,3020.488372,8484.888889,910.159292
-94.3118191724,49.6999773266,0.340919,0.503905,239.245455,149.000000,2469.657658,631.741071,5601.684685,1643.723214,,-5140.267327,402.458716,3032.000000,5184.000000,897.545455
-94.2659588231,49.6999773266,0.316042,0.471877,265.876106,,2777.921739,769.877193,6036.139130,1870.426087,,-5140.247619,456.800000,3022.615385,4842.666667,771.295652
-94.2200984738,49.6999773266,0.247246,0.391694,262.130435,,2556.637931,746.930435,5893.017241,1723.086207,,-5128.084112,441.965217,3021.000000,4569.600000,743.362069
-94.1283777751,49.6999773266,0.297305,0.439556,238.485981,,2401.089286,652.198198,5965.008929,1570.116071,,-5089.853211,392.758929,3018.864865,5525.333333,686.383929
-94.0366570764,49.6999773266,0.355618,0.564290,234.387931,,2482.353448,653.586207,6079.206897,1602.025862,,-5101.008929,383.309735,3016.102564,6208.000000,629.551724
-93.9907967271,49.6999773266,0.293577,0.502985,231.684211,,2410.530435,618.286957,6067.252174,1542.789474,,-5123.185841,369.833333,3015.055556,5622.857143,601.408696
-93.8990760284,49.6999773266,0.268708,0.363080,233.639640,,2339.973214,601.243243,5997.324324,1497.866071,,-5149.373832,364.133929,3018.948718,5835.636364,692.205357
-93.8073553298,49.6999773266,0.316879,0.393133,248.223214,,2447.620690,695.947826,5930.517241,1609.634783,,-5187.819048,409.298246,3030.000000,4160.000000,888.078261
-93.7156346311,49.6999773266,0.242188,0.324525,210.390909,147.000000,2312.830357,624.803571,5995.098214,1495.187500,,-5043.474747,357.845455,3057.612245,5525.333333,1883.862385
-93.6239139325,49.6999773266,0.256046,0.325160,224.362069,,2363.517241,673.232759,5967.396552,1546.620690,,-5003.122642,380.280702,3054.653061,6208.000000,1804.278261
-93.5780535831,49.6999773266,0.277448,0.357295,233.864865,147.000000,2512.892857,711.036036,6044.178571,1649.223214,,-4980.104762,404.363636,3051.607843,6208.000000,1766.669643
-93.5321932338,49.6999773266,0.231527,0.267734,225.747748,147.000000,2390.267857,642.432432,6033.125000,1548.741071,,-4991.905660,380.482143,3052.448980,6208.000000,1840.187500
-93.4404725351,49.6999773266,0.184632,0.335327,232.176991,,2506.000000,652.629310,6039.525862,1629.439655,,-5034.028846,388.756522,3060.270833,5915.428571,2118.560345
-93.0735897405,49.6999773266,0.238475,0.204855,249.964602,154.750000,1650.324561,388.279279,4067.464912,1193.956140,1.444444,-4106.178947,364.333333,3031.905660,7759.650000,2070.321101
-94.2659588231,49.6370955444,0.403659,0.508292,254.600000,,2760.349057,699.295238,6146.207547,1823.094340,,-5103.550000,431.433962,3016.526316,6208.000000,756.754717
-94.1742381244,49.6370955444,0.329217,0.454959,265.557692,,2724.175926,742.787037,6035.527778,1826.111111,,-5142.725490,450.392523,3013.743590,4842.666667,700.157407
-94.1283777751,49.6370955444,0.293496,0.429207,241.830000,,2543.561905,659.457143,6078.951923,1669.142857,,-5170.598039,407.009524,3012.432432,6208.000000,670.952381
-94.0825174258,49.6370955444,0.322277,0.478158,234.902913,,2532.209524,655.161905,6094.423077,1658.980952,,-5143.474747,402.742857,3020.600000,4842.666667,799.533333
-93.9907967271,49.6370955444,0.326888,0.483300,238.803738,,2460.587156,602.522936,6076.694444,1574.669725,,-5107.373737,377.212963,3020.171429,5622.857143,823.370370
-93.9449363778,49.6370955444,0.303929,0.399989,237.096154,,2339.771429,567.914286,6029.828571,1486.561905,,-5098.854167,361.847619,3026.322581,5622.857143,980.942308
-93.8532156791,49.6370955444,0.248045,0.363425,238.240741,,2370.844037,594.824074,5989.899083,1529.073394,,-5127.880000,371.861111,3039.217391,5835.636364,1444.201835
-93.8073553298,49.6370955444,0.258537,0.386727,253.700935,,2579.250000,703.775701,6034.296296,1690.768519,,-5120.461538,416.122642,3044.902439,5184.000000,1590.355140
-93.7614949805,49.6370955444,0.245586,0.392231,234.303922,,2524.028571,687.295238,6097.971429,1640.523810,,-5038.269663,395.368932,3060.452381,6208.000000,2071.572816
-93.6697742818,49.6370955444,0.188571,0.279635,228.537037,,2489.752294,690.880734,6071.137615,1619.416667,,-5008.520408,385.731481,3062.209302,4160.000000,2234.688073
-93.6239139325,49.6370955444,0.208143,0.280693,235.179245,,2537.747664,738.691589,6042.433962,1671.149533,,-5012.309278,404.038095,3060.673913,3477.333333,2209.429907
-93.5780535831,49.6370955444,0.268696,0.337462,244.314286,147.000000,2586.371429,779.114286,6012.682692,1718.990476,,-5019.893617,425.912621,3057.704545,5525.333333,2166.038095
-93.4863328845,49.6370955444,0.288697,0.336460,236.704762,,2587.412844,730.871560,6082.073394,1702.238532,,-5013.322917,412.351852,3056.023810,4160.000000,2131.917431
-93.4404725351,49.6370955444,0.285113,0.341265,233.098039,,2683.150943,712.130841,6201.317757,1749.065421,,-5013.351648,407.169811,3054.568182,5184.000000,2106.485981
-93.3028914871,49.6370955444,0.216951,0.351865,210.471154,151.000000,2306.682243,471.719626,5779.448598,1486.142857,,-5011.347368,337.895238,3052.100000,5388.800000,2042.906542
-93.2111707885,49.6370955444,0.246605,0.297685,214.601942,151.000000,2334.820755,491.990566,5657.904762,1532.320755,1.000000,-5014.175824,363.807692,3049.564103,11661.500000,1990.625000
-93.1653104392,49.6370955444,0.291734,0.223942,236.869159,156.500000,2787.324074,629.212963,6033.333333,1852.055556,1.000000,-4845.326316,420.448598,3034.425000,9771.285714,1964.616822
-93.0735897405,49.6370955444,0.258838,0.171671,209.433962,153.333333,2087.500000,404.171429,5213.235849,1381.264151,1.666667,-5028.727273,343.952381,3046.142857,10087.125000,1931.184466
-100.9157094760,49.5742137621,0.405744,0.576846,571.436364,157.000000,2064.500000,2200.972727,3556.154545,2266.390909,,-2170.000000,1071.372727,2913.636364,,205.037037
-100.8698491267,49.5742137621,0.454841,0.590847,577.485714,157.000000,1983.390476,2123.095238,3424.866667,2241.780952,,-2988.809524,1087.980952,2926.853659,,91.380000
-94.4035398711,49.5742137621,0.267112,0.290348,150.400000,150.000000,1039.635514,249.037736,3669.831776,705.654206,,-5116.121212,212.571429,3025.195122,5186.000000,917.018868
-94.3576795217,49.5742137621,0.346985,0.363684,185.207547,,1742.361111,394.349057,4967.944444,1145.361111,,-5152.970000,289.055556,3012.944444,4160.000000,797.250000
-94.2659588231,49.5742137621,0.418273,0.489225,257.200000,,2789.685714,696.419048,6157.836538,1842.819048,,-5164.793814,435.342857,3014.324324,5622.857143,827.219048
-94.2200984738,49.5742137621,0.370044,0.464442,272.379630,,2942.981651,747.324074,6191.861111,1956.504587,,-5168.485149,459.596330,3010.850000,5525.333333,778.146789
-94.1742381244,49.5742137621,0.381112,0.491812,283.721154,,2927.240741,758.333333,6106.944954,1970.440367,,-5172.911765,475.146789,3008.200000,5184.000000,684.064220
-94.0366570764,49.5742137621,0.402273,0.523408,259.433962,,2598.224299,736.388889,5957.364486,1741.157407,,-5020.778947,439.196262,3048.638298,4842.666667,1782.250000
-93.8990760284,49.5742137621,0.237323,0.395894,215.280374,,2127.305556,454.084112,5869.490741,1340.712963,,-4971.227723,317.500000,3052.404255,5696.000000,1975.138889
-93.8532156791,49.5742137621,0.183297,0.293602,197.000000,153.000000,1956.009174,400.148148,5611.568807,1227.302752,1.000000,-4981.463918,282.564815,3064.265306,10335.000000,2331.477064
-93.7614949805,49.5742137621,0.163653,0.290970,215.365385,,2121.142857,548.432692,5880.152381,1354.740385,,-5007.617978,338.009524,3056.068182,6208.000000,2219.990385
-93.7156346311,49.5742137621,0.122821,0.267492,223.066038,,2294.314815,605.626168,5993.333333,1471.433962,,-4990.340426,361.476636,3057.439024,6208.000000,2246.934579
-93.6697742818,49.5742137621,0.185642,0.290395,245.076923,,2639.155963,745.472222,6090.788991,1735.935185,,-4989.448980,417.925926,3055.878049,4842.666667,2222.302752
-93.5780535831,49.5742137621,0.291922,0.352707,244.698113,,2815.766355,731.738318,6257.783019,1835.495327,,-4991.347826,419.104762,3052.977778,5798.400000,2170.289720
-93.5321932338,49.5742137621,0.267239,0.302085,243.103774,,2896.761468,722.697248,6315.779817,1888.366972,,-4990.134021,421.449541,3051.577778,5752.888889,2145.009174
-93.4863328845,49.5742137621,0.300337,0.335403,243.905660,,2966.112150,746.373832,6356.700935,1940.168224,,-4990.031579,428.830189,3050.177778,2931.200000,2118.981308
-93.3946121858,49.5742137621,0.323923,0.412502,234.509804,,2803.647619,700.308411,6321.207547,1826.485981,,-4996.537634,411.405660,3047.279070,6208.000000,2067.168224
-93.3487518365,49.5742137621,0.287565,0.405455,266.858491,,2835.411215,780.175926,6126.935185,1903.467290,,-4806.387755,459.123810,3033.933333,6208.000000,1746.472222
-93.2570311378,49.5742137621,0.300395,0.372796,274.641509,,2959.878505,777.424528,6153.467290,1989.028302,,-4361.010101,471.028302,3024.930233,6208.000000,1410.822430
-93.2111707885,49.5742137621,0.406640,0.455593,258.196262,,2910.074074,711.898148,6244.925234,1919.102804,,-4170.165049,441.120370,3022.255814,6208.000000,1456.299065
-93.1194500898,49.5742137621,0.390111,0.409526,274.580952,,3026.065421,818.261682,6152.584906,2054.738318,,-4237.731959,487.476636,3020.659091,3750.400000,1309.019608
-93.0735897405,49.5742137621,0.319081,0.310277,253.571429,151.000000,2623.811321,652.915094,5868.800000,1772.943396,,-4106.858696,441.104762,3023.733333,5388.800000,1461.336634
-100.9615698253,49.5113319799,0.326460,0.463924,600.398148,157.000000,2087.871560,2378.211009,3500.574074,2355.490741,,-3258.019048,1128.861111,2926.325000,,118.113208
-93.9449363778,49.5113319799,0.369677,0.464977,275.686275,,2550.133333,654.714286,5847.790476,1689.180952,,-5069.597938,425.201923,3016.950000,4615.111111,1085.771429
-93.7614949805,49.5113319799,0.173505,0.282077,230.423077,,2095.598131,555.500000,5740.654206,1366.537736,,-5061.863158,357.691589,3041.936170,5184.000000,1842.301887
-93.7156346311,49.5113319799,0.178303,0.299743,240.288462,,2407.174312,633.231481,5991.862385,1559.462963,,-5028.281250,385.972222,3044.560976,6208.000000,1947.522936
-93.6239139325,49.5113319799,0.228374,0.340969,238.237624,147.000000,2838.292453,682.676190,6374.971698,1821.632075,,-4978.244681,402.179245,3045.282609,6208.000000,2132.698113
-93.5780535831,49.5113319799,0.282624,0.375299,220.161905,,2636.101852,597.175926,6335.435185,1672.500000,,-4990.000000,365.018519,3048.045455,6208.000000,2159.542056
-93.5321932338,49.5113319799,0.267854,0.323848,219.028302,,2659.175926,607.962963,6291.196262,1707.990741,,-5000.395833,371.831776,3046.500000,5388.800000,2134.093458
-93.4404725351,49.5113319799,0.273836,0.311392,238.056075,,2786.027778,697.514019,6272.942857,1821.925926,,-4830.030612,416.583333,3029.454545,5037.714286,1592.878505
-93.3946121858,49.5113319799,0.295562,0.372887,236.925234,,2659.805556,718.796296,6126.925926,1763.724771,,-4836.864583,419.422018,3028.880952,5622.857143,1598.094340
-93.3487518365,49.5113319799,0.298849,0.373569,280.990385,,2609.123810,850.698113,5769.613208,1820.452830,,-4634.340206,489.304762,3010.658537,6208.000000,1065.553398
-93.2570311378,49.5113319799,0.364333,0.427884,268.485714,149.000000,2656.629630,774.084112,5921.775701,1802.878505,,-4243.676471,459.528302,2999.073171,6208.000000,708.287037
-93.1653104392,49.5113319799,0.480244,0.557930,261.420000,,2779.301887,743.792453,6094.476190,1849.811321,,-3590.038835,446.304762,2991.571429,5184.000000,558.747573
-93.1194500898,49.5113319799,0.427860,0.510298,276.875000,,2807.796296,822.962963,5945.377358,1925.518519,,-3061.161616,487.158879,2998.486486,4569.600000,735.089109
-93.0735897405,49.5113319799,0.376664,0.436574,269.094340,151.000000,2665.271028,762.261682,5806.707547,1832.981308,,-2270.559140,471.644860,3013.581395,5525.333333,1160.613861
-94.4035398711,49.4484501976,0.289466,0.343121,231.242718,,2396.442308,703.104762,5791.904762,1615.846154,,-5099.354167,409.145631,3011.857143,3750.400000,933.400000
-94.3576795217,49.4484501976,0.329036,0.321764,239.461538,,2410.719626,719.814815,5771.522936,1639.370370,,-5092.431373,424.009174,3011.611111,5184.000000,884.935185
-94.3118191724,49.4484501976,0.380440,0.318825,230.590476,,2200.731481,611.879630,5657.247706,1476.064220,,-5085.250000,383.486239,3017.238095,4672.000000,1044.785047
-93.8990760284,49.4484501976,0.292931,0.539382,258.400000,151.000000,2575.537037,563.379630,5921.138889,1680.138889,,-5040.378641,397.916667,3022.295455,4745.142857,1282.175926
-93.7614949805,49.4484501976,0.275363,0.369561,259.707547,,2590.166667,652.577982,6048.888889,1704.824074,,-5078.564356,417.183486,3027.543478,3648.000000,1568.056604
-93.6697742818,49.4484501976,0.303639,0.444023,265.740000,147.666667,2803.895238,701.771429,6177.628571,1829.990476,,-4928.653465,429.819048,3017.095238,5525.333333,1330.076190
-93.6239139325,49.4484501976,0.274297,0.418717,243.932692,147.000000,2764.564815,657.564815,6304.074074,1777.805556,,-4941.613861,398.691589,3029.071429,4928.000000,1603.666667
-93.5780535831,49.4484501976,0.302982,0.403607,200.783019,,2321.046296,506.532710,6244.888889,1451.277778,,-4980.656250,320.598131,3041.804878,4979.200000,2060.457944
-93.4863328845,49.4484501976,0.377040,0.456901,231.809524,147.000000,2645.579439,688.349057,6176.846154,1728.906542,,-4874.560000,402.613208,3024.044444,6208.000000,1623.467290
-93.4404725351,49.4484501976,0.386333,0.433200,242.211538,,2690.259259,747.102804,6115.764151,1783.453704,,-4867.224490,429.388889,3013.113636,4160.000000,1176.616822
-93.3946121858,49.4484501976,0.393577,0.447638,238.876190,,2575.611111,755.000000,5985.490741,1725.462963,,-4836.117021,428.750000,3010.073171,4160.000000,1033.730769
-93.3028914871,49.4484501976,0.339085,0.438768,250.745283,149.000000,2594.703704,769.638889,5941.583333,1761.814815,,-4527.970588,448.158879,2992.060606,5798.400000,673.074766
-93.2111707885,49.4484501976,0.417928,0.538446,247.312500,147.000000,2550.065421,741.140187,5919.056604,1719.641509,,-2980.990654,440.405660,2971.000000,4160.000000,57.320388
-93.1653104392,49.4484501976,0.477234,0.611218,256.556701,,2646.064815,792.101852,5925.601852,1800.879630,,-2299.161905,460.028037,2978.606061,2112.000000,208.724490
-93.1194500898,49.4484501976,0.449565,0.556394,257.316832,,2701.495327,780.792453,5984.476636,1829.981308,,-1062.285714,458.122642,2996.075000,6208.000000,773.210000
-94.3118191724,49.3855684154,0.445472,0.363331,252.548077,,2778.467290,753.906542,6030.916667,1875.620370,,-5015.878788,445.196262,3035.428571,3818.666667,1761.794393
-93.9907967271,49.3855684154,0.209354,0.353557,234.134615,,2595.600000,574.609524,5868.057692,1726.752381,,-4948.232323,392.250000,3043.954545,6208.000000,2050.942857
-93.8532156791,49.3855684154,0.407498,0.608143,243.715686,148.000000,2599.876190,533.394231,6121.115385,1678.914286,,-4870.329787,381.885714,3029.261905,5440.000000,1792.895238
-93.7614949805,49.3855684154,0.372887,0.483301,242.925234,147.000000,2633.551402,558.462963,6213.803738,1684.803738,,-4938.220000,381.703704,3028.782609,3477.333333,1766.669811
-93.6697742818,49.3855684154,0.268409,0.415677,263.133333,149.000000,2727.551402,627.186916,6157.691589,1762.869159,,-4907.184466,406.339623,3014.276596,5696.000000,1317.289720
