fid,sif_mean_735,sif_mean_743,longitude,latitude,B_REFL_mean,COMP_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,RAA_mean,R_REFL_mean,SZA_mean,VIQ_mean,VZA_mean,Window
4642,0.5761119264,0.7911779881,-100.365385284,44.9838436579,513.6875,157,2731.5,1798.4375,4576,2397.09375,,2216.193548,884.65625,2451.636364,,1320.354839,25_May_09_June
4643,0.4886546195,0.4905746728,-100.3195249347,44.9838436579,632.266667,157,1942.2,2206.833333,3414.034483,2240.5,,-80.782609,1132.966667,2600.882353,,1395.1,25_May_09_June
4644,0.6303396188,0.7694630995,-100.2736645854,44.9838436579,598.806452,,2202.34375,2057.6875,3802.09375,2312.03125,,-4580.958333,1060.9375,2675.333333,,1203.354839,25_May_09_June
4645,0.4809856207,0.671904097,-100.227804236,44.9838436579,621.225806,156,2196.774194,2469.709677,3578.774194,2475.032258,,-3061.478261,1176.451613,2649.5,,1533.862069,25_May_09_June
4646,0.54253201,0.6952507594,-100.1819438867,44.9838436579,583.548387,154,2090.709677,2466.709677,3518.16129,2362.83871,,-4551.464286,1127.193548,2712.357143,,1640.766667,25_May_09_June
4647,0.7460952699,0.9807014962,-100.1360835374,44.9838436579,578.612903,154,2259.193548,2417.387097,3816.193548,2447.709677,,-4601.8,1111.516129,2717.2,,1513.516129,25_May_09_June
4648,0.2989194494,0.6088481482,-100.0902231881,44.9838436579,655.645161,,1841.774194,2627.612903,3135.580645,2363.967742,,-4636.36,1261.419355,2718.214286,,1452.612903,25_May_09_June
4649,0.341440767,0.4485835247,-99.9985024894,44.9838436579,660.1,,1751.366667,2736.766667,2995.933333,2300.266667,,-4639.333333,1253.6,2714.8,,1391.7,25_May_09_June
4650,0.3269010764,0.3415383585,-99.9526421401,44.9838436579,652.78125,,2046.40625,2679.5625,3316.875,2474.3125,,-4613.703704,1244.84375,2713.5,,1361.59375,25_May_09_June
4651,0.1071429638,0.2917411178,-99.9067817907,44.9838436579,675.3,,1669.533333,2868.033333,2826.133333,2271.9,,-4609.227273,1276.137931,2711.153846,,1331.433333,25_May_09_June
4652,0.3115755841,0.5615963063,-99.8609214414,44.9838436579,585.75,,1755.65625,2608.46875,3166.40625,2126.53125,,-4568.833333,1102.354839,2709.625,,1301.25,25_May_09_June
4653,0.3250608295,0.3691378534,-99.8150610921,44.9838436579,652,,1781.75,3142.8125,2990.90625,2303.09375,,-4531.956522,1243.75,2698.333333,,1363.25,25_May_09_June
4654,0.6657395915,0.9322170566,-99.7233403934,44.9838436579,544.8125,149.333333,3230.84375,2489,4840.6875,2995.03125,1,-4331.357143,1042.375,2683.190476,3172.5,2080.37931,25_May_09_June
4655,0.9364904761,1.0998501837,-99.6774800441,44.9838436579,339.655172,145,3779.2,1488.2,6185.2,2829,,-4652.296296,668.1,2620.75,4160,1325.4,25_May_09_June
4656,0.939953727,1.2792475621,-99.6316196948,44.9838436579,313.129032,152,3679.03125,1340.0625,6246.5625,2698.5625,,-3987.103448,623.71875,2596.357143,,808.8125,25_May_09_June
4657,0.5285064229,0.7309498824,-99.5857593454,44.9838436579,380.516129,157,3187.806452,1664.548387,5429.83871,2584.225806,,-4220.766667,762.451613,2598.692308,,1152.354839,25_May_09_June
4658,0.2817982582,0.4513011366,-99.5398989961,44.9838436579,568.16129,,2116.666667,2546.129032,3619.548387,2295.580645,,-3809.827586,1073.933333,2635.142857,2112,1476.5,25_May_09_June
4659,0.6063368746,0.7300027566,-99.4940386468,44.9838436579,596.129032,157,2041.83871,2857.903226,3464.741935,2321.451613,,-3084.035714,1126.903226,2611.4375,,2118.258065,25_May_09_June
4660,0.990497802,1.2065114634,-99.4023179481,44.9838436579,360.75,,3675.1875,1508.21875,5992.65625,2828.1875,,2126.214286,712.875,2626.588235,,1313.064516,25_May_09_June
4661,0.4206618816,0.8757924139,-99.3564575988,44.9838436579,435.466667,157,3238.258065,1871.483871,5302.258065,2702.966667,,-3648.52,835.516129,2630.588235,,1879.548387,25_May_09_June
4662,0.8791266424,1.0267444168,-99.3105972494,44.9838436579,442.967742,,3356.032258,2029,5327.16129,2820.064516,,-4333.5,858.741935,2639.928571,,1947.516129,25_May_09_June
4663,0.8525090478,1.0448523555,-99.2647369001,44.9838436579,476.033333,153,2886.548387,2095.451613,4740.967742,2598.032258,,-3031.423077,921.870968,2608.611111,,1891.709677,25_May_09_June
4664,0.8037875791,1.0231542389,-99.2188765508,44.9838436579,411.193548,151.25,3442.709677,1838.83871,5544.322581,2795.096774,,-1990.964286,799.741935,2581.388889,2116,2152.448276,25_May_09_June
4665,0.9958115774,1.1694642816,-99.1730162014,44.9838436579,444.83871,151.5,3297.16129,2119.903226,5201,2796.096774,,-1916.185185,866.16129,2584.904762,2116,2145.709677,25_May_09_June
4666,0.531474191,0.6557422996,-99.1271558521,44.9838436579,527.428571,147,2510.482759,2252.689655,4118.103448,2505.068966,,1212.565217,1022.068966,2552.8125,2115,2764.318182,25_May_09_June
4667,0.1410824501,0.3688334177,-99.0812955028,44.9838436579,544.666667,,2832.483871,2467.709677,4474.483871,2771.806452,,-793.592593,1087.1,2611.583333,,2062.68,25_May_09_June
4668,0.5383393075,0.6628232896,-99.0354351535,44.9838436579,567.066667,,2518.677419,2606.451613,4012.870968,2636.451613,,-3777.259259,1115.580645,2628.583333,,1772.214286,25_May_09_June
4669,0.5031919728,0.6981552392,-98.9895748041,44.9838436579,509.09375,155.5,2916.15625,2165.59375,4696.78125,2726.0625,,-2616.034483,1000.46875,2605.142857,4164,1992,25_May_09_June
4670,0.7095501953,0.933810552,-98.9437144548,44.9838436579,359.033333,153.666667,3101.322581,1387.709677,5462.709677,2469.225806,,2530.642857,717.806452,2577.285714,4160,1352.689655,25_May_09_June
4671,0.663744544,1.0112858812,-98.8519937561,44.9838436579,358.193548,157,3301.419355,1560.516129,5651.322581,2588.677419,,-3748.653846,714.806452,2602.733333,,1706.741935,25_May_09_June
4672,0.8268391714,0.9026419719,-98.8061334068,44.9838436579,316.870968,,3792.419355,1317.433333,6298.258065,2781.967742,,-4379.269231,630.354839,2619.5,,1626.225806,25_May_09_June
4673,0.7149703734,1.0708338353,-98.7602730575,44.9838436579,356.233333,,3283.580645,1527.032258,5658.225806,2553.354839,,-4367.772727,700.225806,2617.5,4160,1596.225806,25_May_09_June
4674,0.1211906344,0.4497918919,-98.7144127081,44.9838436579,427.677419,,2576.354839,1843,4635.870968,2301.7,,-3631.304348,836.533333,2608.928571,,1533.033333,25_May_09_June
4675,0.5732469336,0.7645580769,-98.6685523588,44.9838436579,539.032258,156.666667,2362.733333,2384.733333,3992.483871,2423.83871,,-2242.583333,1045.548387,2587.2,,1690.034483,25_May_09_June
4676,0.5594892576,0.5935459385,-98.6226920095,44.9838436579,519.433333,152,2763.7,2412.548387,4487.354839,2660.774194,,-3572.681818,1011.064516,2606.176471,,1471.851852,25_May_09_June
4677,0.363092273,0.4298249693,-98.5768316602,44.9838436579,497.0625,152,2697.625,2257.15625,4596.71875,2513.625,,-1340.035714,973.354839,2602.166667,,1345.53125,25_May_09_June
4678,0.483701366,0.5756801342,-98.5309713108,44.9838436579,614.033333,154,2444.096774,2764.322581,3818.516129,2644.935484,,56.521739,1171.935484,2597.9375,,1347.37931,25_May_09_June
4679,0.3285400867,0.3485060909,-98.4851109615,44.9838436579,530.677419,154.5,2282.21875,2310.875,3944.8125,2351,,-2439.807692,1022.125,2583.25,,1464.111111,25_May_09_June
4680,0.3588052831,0.5085811679,-98.4392506122,44.9838436579,571.166667,152,2712.1,2645.5,4252.666667,2733.233333,,-2502.148148,1086.862069,2584.714286,,1309.555556,25_May_09_June
4681,0.4295187827,0.7053898019,-98.3933902628,44.9838436579,484.53125,156,1954.34375,2231.625,3697.09375,2013.9375,,-4425.571429,921.967742,2611.071429,,1414.875,25_May_09_June
4682,0.2451148033,0.3295420061,-98.3475299135,44.9838436579,449.551724,156,2644.166667,1952.266667,4624.133333,2393.1,,-4429.821429,870.966667,2613.263158,,1451,25_May_09_June
4683,0.2520432342,0.3778626241,-98.2558092148,44.9838436579,562.2,156.6,1863.233333,2518.3,3352.5,2126.366667,,-2625.5,1062,2569.761905,,1631.310345,25_May_09_June
4684,0.4030984938,0.5535610872,-98.2099488655,44.9838436579,655.625,157,2287.875,2950.84375,3539.1875,2645.15625,,-151.321429,1251.9375,2561.125,,1243.766667,25_May_09_June
4685,0.2146519948,0.4464260656,-98.1640885162,44.9838436579,558.16129,154,2478.741935,2547.866667,4070.774194,2536.193548,,562.333333,1071.8,2588.846154,,1196,25_May_09_June
4686,0.3310843321,0.5543983852,-98.1182281668,44.9838436579,562.5625,,2543.677419,2519.53125,4143.75,2611.75,,509,1089.09375,2580,,1116.586207,25_May_09_June
4687,0.3856979055,0.7117477762,-98.0723678175,44.9838436579,527.3,152,2668.096774,2577.83871,4357.322581,2578.387097,,1035.6,1009.645161,2577.214286,,1076.892857,25_May_09_June
4688,0.8789763195,0.9992665138,-97.9806471189,44.9838436579,391.741935,,3624.870968,1793.967742,5723.709677,2889.096774,,-2030.727273,772.225806,2572.538462,,1073.444444,25_May_09_June
4689,0.7618113245,1.0136117552,-97.9347867695,44.9838436579,454.612903,156,3375.548387,2088.290323,5270.258065,2874.774194,,568.714286,872,2563.066667,,1118.064516,25_May_09_June
4690,1.068541199,1.3990493317,-97.8430660709,44.9838436579,507.733333,152,2807.6,2389.166667,4534.3,2636.433333,,-2329.32,994.862069,2570.705882,,1007.1,25_May_09_June
4691,0.607298934,0.6519727643,-97.7972057215,44.9838436579,502.741935,152,2506.0625,2357.65625,4266.03125,2413.40625,,-2645.034483,965.875,2568.0625,,972.931034,25_May_09_June
4692,0.4677097562,0.4700637385,-97.7513453722,44.9838436579,448.032258,,2837.258065,2000.322581,4854.032258,2450.806452,,5277.666667,843.666667,2532.25,6208,1074.833333,25_May_09_June
4693,0.1634290162,0.327031819,-97.6596246735,44.9838436579,534.6,152.666667,1808,2186.677419,3317.612903,1988.387097,,9709.666667,973.193548,2505.666667,6208,1227.645161,25_May_09_June
4694,0.2236180161,0.5144415526,-97.6137643242,44.9838436579,563.78125,153.2,2048.34375,2511.3125,3554.25,2229.225806,,5201.851852,1054.90625,2520.8125,2112,1204.096774,25_May_09_June
4695,0.1826022146,0.2562014461,-97.5679039749,44.9838436579,521.5,155,1972.3,2424.9,3610.433333,2097.566667,,-1977.62963,983.066667,2550.4375,,1037.607143,25_May_09_June
4696,0.2724197076,0.371398259,-97.5220436256,44.9838436579,569.516129,,1828.0625,2456.5625,3307.21875,2093.1875,,3808.185185,1055.96875,2530.444444,5184,1081.16129,25_May_09_June
4697,0.5292650852,0.7021180019,-97.4761832762,44.9838436579,483.866667,,2370.866667,1901.833333,4245,2182,,11242.727273,868.633333,2489.1,6208,1313.233333,25_May_09_June
4698,0.3695814954,0.6043780148,-97.4303229269,44.9838436579,440.5,155,2531.53125,1754.0625,4593.6875,2218.34375,,10474.5,816.193548,2505.071429,4672,1386.096774,25_May_09_June
4699,0.2103703474,0.410765683,-97.3844625776,44.9838436579,440.068966,150,2293.633333,1466.9,4363.333333,2006.966667,,12806.8,772.166667,2472.636364,,1475.8,25_May_09_June
4700,0.6283149322,0.9086995125,-97.2927418789,44.9838436579,481.71875,154,2485.65625,1784.75,4405.78125,2291.46875,,9580.846154,892.21875,2495,4160,1343.3125,25_May_09_June
4701,0.3576053843,0.5726112187,-97.2468815296,44.9838436579,455.066667,153,2681.903226,1913.419355,4603.096774,2396,,6696.25,869.580645,2507.692308,2112,1260.741935,25_May_09_June
4702,0.4636394017,0.8340779141,-97.2010211802,44.9838436579,579.6875,151,2351.46875,2580.84375,3861.28125,2517,,1112.56,1119.78125,2532.625,6208,1007.857143,25_May_09_June
4703,0.6760017263,0.9015926421,-97.1551608309,44.9838436579,418.133333,,3320.466667,1930.533333,5418.633333,2730.433333,,-2085.966667,818.827586,2543.666667,,661.466667,25_May_09_June
4704,0.4792193957,0.8338281992,-97.1093004816,44.9838436579,467.451613,152.666667,2930.870968,2071.666667,4837.451613,2619.064516,,-1574.84,911.677419,2538.833333,,662.153846,25_May_09_June
4705,0.5130855739,0.6434058212,-97.0634401322,44.9838436579,532.866667,154,2556.933333,2514.366667,4164.2,2549.586207,,1395.5,1043.310345,2532.666667,,927.083333,25_May_09_June
4706,0.5645632558,0.6946271816,-96.9717194336,44.9838436579,530.5,156,2727.033333,2454.733333,4364.8,2651.7,,-1589.04,1029.666667,2543.615385,,671.346154,25_May_09_June
4707,0.8270611603,0.8149567842,-96.9258590843,44.9838436579,444.387097,154,3218.258065,2060.419355,5211.612903,2735.677419,1,217.653846,861.516129,2532,2181,912.333333,25_May_09_June
4708,0.6964352233,0.8066386878,-96.8799987349,44.9838436579,444.967742,156,3105.967742,2051.645161,5076,2670.322581,1,2925.535714,864.870968,2518.761905,2146.5,1040.172414,25_May_09_June
4709,0.508096778,0.7547850417,-96.8341383856,44.9838436579,397.096774,150,2558.125,1168,4807.40625,2073.90625,,11637.3,696.65625,2463.307692,5184,1728.612903,25_May_09_June
4710,1.2103322203,1.4462750662,-96.7882780363,44.9838436579,351.733333,,3753.709677,1274.866667,6139.741935,2788.032258,,1765.961538,662.548387,2521.25,,931.4,25_May_09_June
4711,1.1672231356,1.4783009887,-96.7424176869,44.9838436579,379.645161,154,3386.193548,1525.741935,5674.354839,2650.83871,1,4593.344828,731.233333,2498.157895,2181,1158.2,25_May_09_June
4712,0.9617181685,1.3258887132,-96.6965573376,44.9838436579,387.16129,154.333333,3553.677419,1562.645161,5760.580645,2783.225806,0.666667,5730.5,745.935484,2498.888889,2158,1261.037037,25_May_09_June
4713,0.8564821146,1.1608764119,-96.6506969883,44.9838436579,396.2,154,3323.233333,1603.466667,5529.033333,2668.066667,0,9968.217391,770.266667,2487.9,2112,1608.32,25_May_09_June
4714,0.5719191544,0.8023164533,-96.6048366389,44.9838436579,465.5625,154.8,2761.6875,1957.59375,4685.9375,2490.5,1,10101.28,900.6875,2494,2181,1867.625,25_May_09_June
4715,0.5729671461,0.7474255902,-96.5589762896,44.9838436579,519.310345,152.8,2352.733333,2277.4,4048.4,2362.633333,1,7779.772727,1001.766667,2536.142857,2159.333333,1747.961538,25_May_09_June
4716,0.3440058544,0.6547134403,-96.5131159403,44.9838436579,527,154,2001.71875,2321.4375,3601.03125,2158.6875,1,11287.310345,1012.1875,2457.833333,2153.4,1769.586207,25_May_09_June
4717,0.2052499726,0.3286600946,-96.467255591,44.9838436579,455.7,,2498.387097,1965.741935,4432.451613,2282.193548,,12729.851852,873.580645,2449.777778,5525.333333,1994.37037,25_May_09_June
4718,0.1187975619,0.2538371593,-96.3755348923,44.9838436579,473.896552,152,2575.225806,2085.096774,4442.419355,2421.16129,1,7101.36,931.741935,2537,2159.333333,1241.16,25_May_09_June
4719,0.1159396668,0.3198250445,-96.329674543,44.9838436579,547.59375,154,1974.193548,2517.46875,3509.96875,2194.96875,1,11917.157895,1061.16129,2488.461538,2181,1118.578947,25_May_09_June
4720,0.149749179,0.3182801668,-96.192093495,44.9838436579,482.064516,155,2013.870968,2280.580645,3796.032258,2038.741935,1,12027.535714,915.645161,2486.071429,2146.5,1926,25_May_09_June
4721,0.043924599,-0.0874334073,-96.1462331456,44.9838436579,544.290323,154,1713.387097,2516.709677,3217.064516,1976.580645,0,12773.583333,1017.129032,2450.111111,2112,2114.642857,25_May_09_June
4722,-0.2206813426,-0.0082487764,-96.1003727963,44.9838436579,539,,1650.870968,2636.806452,3117,1966.774194,1,12712.115385,1033.387097,2439.8,2181,2214.347826,25_May_09_June
4723,-0.2007963889,-0.2109395838,-96.054512447,44.9838436579,506.483871,146,1622.225806,2421.387097,3162.774194,1883.967742,1,12626.068966,977.548387,2430.071429,2183.666667,2493.862069,25_May_09_June
4724,0.035163576,0.1557631873,-96.0086520976,44.9838436579,413.6875,154,1820.625,1806.53125,3816.28125,1770.83871,,12672.481481,793.5,2444.333333,,2182.73913,25_May_09_June
4725,0.1559155051,0.2315649135,-95.9627917483,44.9838436579,401,156,2080.580645,1836.322581,4092.322581,1918.83871,1,6387.333333,775.16129,2549.277778,2181,2441.32,25_May_09_June
4726,0.1692695875,0.2452647934,-95.8710710497,44.9838436579,408.645161,158,2790.806452,1848.516129,4869.677419,2418.935484,1,1732.913043,816.451613,2604.4375,2181,2814.363636,25_May_09_June
4727,0.4041009609,0.5561157646,-95.8252107003,44.9838436579,429.533333,156.8,3062.4,1886.633333,5181.833333,2609.933333,1,1197.071429,841.2,2601.285714,2146.5,2433,25_May_09_June
4728,0.4175535962,0.5877763415,-95.779350351,44.9838436579,392.258065,155.6,2783.290323,1773.096774,4950.870968,2355.806452,1,5198.12,772.354839,2569.714286,3170.5,2346.785714,25_May_09_June
4729,0.3101116994,0.6235965916,-95.7334900017,44.9838436579,347.633333,157.6,2934.366667,1509.354839,5376.129032,2277.516129,,6744.173913,654.870968,2530.666667,,2625.652174,25_May_09_June
4730,0.1632659469,0.3424495873,-95.6876296523,44.9838436579,419.266667,156,1947.83871,2069.566667,3943.677419,1859.774194,1,11991.241379,794.870968,2421.384615,2146.5,2732.321429,25_May_09_June
4731,-0.0309468974,0.0672114896,-95.641769303,44.9838436579,459.125,158,1689.5625,2458.90625,3489.8125,1779.21875,,9995.481481,859.709677,2436.571429,,3259.357143,25_May_09_June
4732,-0.04176384,0.0336756937,-95.5959089537,44.9838436579,431.966667,152,1577.466667,2313.2,3436.3,1610.8,1,10177.708333,781.233333,2386.75,2181,3958.227273,25_May_09_June
4733,-0.0685190613,-0.1430420305,-95.5500486043,44.9838436579,426.516129,158,1570.096774,2353.9,3516.387097,1583.774194,,7895.740741,765.322581,2466.5,2112,4257.75,25_May_09_June
4734,-0.187098944,-0.0108476053,-95.504188255,44.9838436579,409.967742,,1650.71875,2182.4375,3670.84375,1591.8125,,10910.37931,739.387097,2317.7,,4598.321429,25_May_09_June
4735,-0.1070463294,-0.1021389768,-95.4583279057,44.9838436579,381.896552,,1375.129032,1960.806452,3391.419355,1380.774194,,12246.666667,684.225806,2373.333333,,3695.347826,25_May_09_June
4736,-0.1027219118,0.0307292393,-95.4124675564,44.9838436579,363.870968,157,1364.935484,1840.7,3464.83871,1324.935484,0,12494.785714,642.741935,2388.571429,2116,2906.448276,25_May_09_June
4737,-0.1912461461,-0.2481660305,-95.366607207,44.9838436579,420.032258,,1686.032258,2197.16129,3655.677419,1627.419355,,12181.36,747.935484,2316.846154,,4012.086957,25_May_09_June
4738,-0.1654703368,0.0894773795,-95.3207468577,44.9838436579,436.266667,,1604.5,2367.866667,3487.666667,1616.533333,,12091.52381,778.933333,2300.4,2112,4475.363636,25_May_09_June
4739,-0.0371231791,0.0183854658,-95.2748865084,44.9838436579,476.645161,155.5,1469.258065,2405.9,3166.806452,1613.677419,1,12363.904762,842.709677,2348.642857,2135,3667.08,25_May_09_June
4740,-0.0693129605,-0.0111087921,-95.229026159,44.9838436579,409.25,152,1614.71875,2307.5625,3602.46875,1577.625,1,12406.8,738.96875,2342.583333,2181,3605.78125,25_May_09_June
4741,-0.0064886168,0.0094252145,-95.1831658097,44.9838436579,351.266667,155.5,1970.032258,1994.193548,4337.677419,1665.516129,,12502.925926,642.064516,2329.5,2116,3454.481481,25_May_09_June
4742,0.0821058626,0.170004072,-95.0455847617,44.9838436579,418.83871,153,1683.645161,2237.322581,3653.967742,1647.193548,1,12486.607143,768.4,2341.636364,2181,3403.931034,25_May_09_June
4743,0.0557773488,0.0803752821,-94.9997244124,44.9838436579,369.96875,156.5,1599.3125,1857.375,3816.064516,1478.125,,12544.103448,663.15625,2377.666667,,3010.310345,25_May_09_June
4744,0.1357511584,0.2514024909,-94.953864063,44.9838436579,346.133333,151.333333,1481.241379,1144.766667,3677.133333,1394.833333,1,11884.75,625.482759,2442.3125,4176.2,3203.84,25_May_09_June
4745,0.3134899088,0.2988609397,-94.9080037137,44.9838436579,349.068966,150,1696.6,1226.933333,3956.8,1503,,10160.545455,628.633333,2539.8,4571.2,3587.230769,25_May_09_June
4746,0.2083426384,0.314019556,-94.8621433644,44.9838436579,368.266667,154.333333,1662.03125,1399.5625,3868.75,1486.3125,1,12335.333333,639.258065,2387.785714,3667.25,3456.884615,25_May_09_June
4747,-0.0910376593,0.156799213,-94.8162830151,44.9838436579,359.032258,157,1558.709677,1688.387097,3770.258065,1442.4,1,11932.933333,639.806452,2393.6,2641.25,3170.740741,25_May_09_June
4748,-0.3220202848,-0.04025805,-94.7704226657,44.9838436579,362.533333,154,1210.709677,1841.466667,3207.612903,1250.193548,,12544.103448,646.096774,2412.777778,2112,2843.466667,25_May_09_June
4749,0.0150061655,0.0966135838,-94.7245623164,44.9838436579,346.451613,,1323.53125,1960.0625,3427.90625,1289.40625,1,12512.966667,625.3125,2403.666667,2181,2993.714286,25_May_09_June
4750,0.0167545602,0.0042328412,-94.6787019671,44.9838436579,395.862069,154,1643.064516,1965.354839,3700.096774,1583.032258,,12562.607143,727.709677,2422.4,6208,2818.392857,25_May_09_June
4751,0.0594245565,0.1341323016,-94.6328416177,44.9838436579,494.516129,153,1705.870968,2378,3365.580645,1851.612903,1,12772.2,916.677419,2451.538462,2181,1875.888889,25_May_09_June
4752,0.2294661626,0.5769787622,-94.5411209191,44.9838436579,425.233333,156,2352.933333,1668.566667,4455.366667,2088.1,,11367.689655,800.137931,2419.272727,,2868.862069,25_May_09_June
4753,0.4055026812,0.4920489341,-94.4952605697,44.9838436579,378.133333,150,2233,1386.258065,4513.366667,1889.967742,,12484.612903,693,2393,4980,3159.1,25_May_09_June
4754,0.4324354487,0.6652597804,-94.4494002204,44.9838436579,320.5,,2102.566667,1027.766667,4752.9,1644.533333,,12483.1,560.366667,2396.2,6208,3136.533333,25_May_09_June
4755,0.4851194829,0.5768425003,-94.4035398711,44.9838436579,379.548387,,2567.258065,1487.483871,4954.8,2103.322581,,12462.689655,710.774194,2395.857143,6208,3159.83871,25_May_09_June
4756,0.5944219068,0.7278222077,-94.3576795217,44.9838436579,364,156,2282.375,1554.84375,4715.3125,1934.774194,,11896.466667,703.40625,2409,6208,3098.75,25_May_09_June
4757,0.3394135416,0.5516376466,-94.3118191724,44.9838436579,348.758621,153,2331.032258,1461.096774,4825.580645,1938.645161,,9990.071429,675.903226,2423.818182,5188,2986.444444,25_May_09_June
4758,0.627422733,0.7216319016,-94.2659588231,44.9838436579,382.16129,151,2554.83871,1852.129032,4835.870968,2169.333333,,9295.73913,756.645161,2404.333333,4161.333333,3068.727273,25_May_09_June
4759,0.3017769017,0.3961758779,-94.2200984738,44.9838436579,347.65625,152,2234.125,1511.75,4729.90625,1843.354839,,-2625,664.28125,2526.35,2112,978.733333,25_May_09_June
4760,0.3801283283,0.6049871956,-94.1742381244,44.9838436579,402.333333,152,2315,1830.419355,4522.548387,2039.8,,4042.416667,771.612903,2477.7,4162,1820.461538,25_May_09_June
4761,0.5486849379,0.7012421489,-94.1283777751,44.9838436579,403.16129,,2471.709677,1849.741935,4690.516129,2125.548387,,3130.36,767.096774,2477.083333,,1613.961538,25_May_09_June
4762,0.631971702,0.6843866309,-94.0366570764,44.9838436579,415.266667,,2662.133333,1684.633333,4871.333333,2239.366667,,12438.206897,770.821429,2387.333333,6208,3345.9,25_May_09_June
4763,0.6411095518,0.8184276041,-93.9907967271,44.9838436579,423.709677,,2670.78125,1954.46875,4803.46875,2298.75,,9643.333333,806.774194,2429.285714,,2864.689655,25_May_09_June
4764,0.647839725,0.8463542114,-93.9449363778,44.9838436579,383.258065,152,3227.935484,1962.516129,5478.612903,2546,1,-2566.931034,722.903226,2518,2181,968.766667,25_May_09_June
4765,0.718137138,0.9021038959,-93.8990760284,44.9838436579,425.9,158.666667,3612.709677,2048.516129,5647.870968,2931.709677,,-2412.444444,813.387097,2540.733333,2114.666667,1653.466667,25_May_09_June
4766,1.157160197,1.2779403669,-93.8532156791,44.9838436579,411.935484,153.5,3796.741935,1508.833333,5837.387097,3011.806452,,-715.166667,783.193548,2527.9375,2116,1447.304348,25_May_09_June
4767,0.9771935617,1.3486459454,-93.8073553298,44.9838436579,333.0625,154,3794.40625,1241.71875,6277.1875,2788.90625,,11245.633333,640.21875,2402.923077,,3116.928571,25_May_09_June
4768,1.1379426107,1.2504141912,-93.7614949805,44.9838436579,301.064516,,4100.8,1059.933333,6661.83871,2929.322581,,8465.333333,585.354839,2417.375,,2850.2,25_May_09_June
4769,1.0433837601,1.3302619287,-93.6697742818,44.9838436579,308.709677,156,4348.870968,911.16129,6886.903226,2971.419355,,5485.413793,547.833333,2463.666667,2112,2177.896552,25_May_09_June
4770,1.0345914619,1.3045899527,-93.6239139325,44.9838436579,265.533333,,3946.966667,572.103448,7118.733333,2466.2,,11768.333333,403.766667,2378.5,,3430.142857,25_May_09_June
4771,1.0697737098,1.3375321686,-93.5780535831,44.9838436579,244.266667,,4122.90625,637.9375,7243.84375,2580.5,,12367.612903,396.75,2376.888889,,3569.375,25_May_09_June
4772,1.1413718164,1.3586994045,-93.5321932338,44.9838436579,249.551724,,3853.870968,527.129032,7035.064516,2380.774194,,11254.533333,365.935484,2375.7,6208,3559.064516,25_May_09_June
4773,1.2401249409,1.5022838513,-93.4863328845,44.9838436579,357.064516,148.25,3845.645161,722.7,6535.064516,2549.387097,,6054.103448,516.966667,2619.692308,3481.333333,3625.259259,25_May_09_June
4774,1.0457030024,1.2183869737,-93.4404725351,44.9838436579,419.28125,,3803.5625,821.5,6193,2615.59375,,5717.04,606.5625,2548.615385,6208,3383.208333,25_May_09_June
4775,0.9267913364,1.1992913857,-93.3946121858,44.9838436579,437.096774,154,3921.677419,928.548387,6127.806452,2811.741935,,93.259259,673.870968,2655.666667,,3102.714286,25_May_09_June
4776,1.0862012744,1.1637094975,-93.3487518365,44.9838436579,441.193548,148,3903.935484,938,6098,2807.83871,,221.192308,681.387097,2660.727273,4164,3295.275862,25_May_09_June
4777,0.7816977873,1.0457713256,-93.3028914871,44.9838436579,485.34375,152,3370.15625,993.40625,5499.09375,2533.21875,,4569.866667,736.125,2594.466667,,3342.689655,25_May_09_June
4778,1.0414001867,1.2046086043,-93.2111707885,44.9838436579,593.129032,156.6,3219.806452,1282.193548,4847.322581,2731.387097,,-621.62963,934.096774,2648.9375,3478.666667,2783.806452,25_May_09_June
4779,0.6769453824,0.9470228236,-93.1653104392,44.9838436579,552.387097,154.666667,3441.096774,1198.032258,5180.387097,2771.741935,,2938.608696,863.935484,2606.166667,,2135.533333,25_May_09_June
4780,0.8878430945,1.2257311493,-93.0735897405,44.9838436579,483.59375,156,3537.625,1019.375,5616.875,2661,,265.769231,746.5,2620.266667,2112,2907.551724,25_May_09_June
4781,0.7457793429,0.8367536087,-100.9615698253,44.9209618757,455.555556,,2635.592593,1360.444444,4673.592593,2287.148148,,-4531,827.269231,2747.181818,,1997.259259,25_May_09_June
4782,1.2855930924,1.2968131304,-100.915709476,44.9209618757,414.64,,2913.192308,1239.814815,5141.888889,2355.041667,,-3079.125,753.038462,2717.692308,,1981.518519,25_May_09_June
4783,1.042045186,1.2679947217,-100.8698491267,44.9209618757,365,145,2906.142857,1203.535714,5425.142857,2237.214286,,4845.75,667.892857,2565.785714,,2052.62963,25_May_09_June
4784,0.5678133305,0.749311775,-100.7322680787,44.9209618757,443.115385,150,2414.230769,1395.8,4516.961538,2111.769231,,236,800,2626.692308,,1835.038462,25_May_09_June
4785,0.7550386488,0.9153024043,-100.6864077294,44.9209618757,464.464286,157,2473.107143,1387.5,4504.357143,2165.392857,,1534.4,820.107143,2624.428571,,1827.785714,25_May_09_June
4786,0.839368007,0.9642366128,-100.64054738,44.9209618757,468.37037,,2400.214286,1332.333333,4399.178571,2141.407407,,-3022.304348,831.464286,2708.928571,,1828.25,25_May_09_June
