fid,sif_mean_735,sif_mean_743,longitude,latitude,B_REFL_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,R_REFL_mean,RAA_mean,SZA_mean,VIQ,VZA_mean,COMP_mean
828,1.1283594302,1.4290979967,-99.1730162014,49.2598048509,476.777778,3379.037037,2301.703704,5205.444444,2963.111111,1,936.37037,-4524.32,2992.5625,,3332.592593,165.000000
829,0.7564979391,1.4171665832,-99.1271558521,49.2598048509,448.172414,3491.7,2239.433333,5350.933333,2961.3,1,880.275862,-4035.88,2931.615385,,2460.071429,175.000000
830,1.3719555259,1.7363881469,-99.0812955028,49.2598048509,438.344828,3591.241379,2103.413793,5501,2995.758621,,859.344828,-4727.956522,2935.842105,,2283.586207,164.000000
831,0.9846034534,1.5304267891,-98.9895748041,49.2598048509,414.964286,4405.892857,1674.142857,6261.035714,3442.964286,,787.5,-4791.458333,2919.846154,,2029.000000,
832,0.3361389382,0.6184501903,-98.9437144548,49.2598048509,456,3227.857143,2293.607143,5129.964286,2779.464286,,884.821429,-4801.72,2915.714286,,2122.107143,163.000000
833,0.9991902828,1.5336558819,-98.8978541055,49.2598048509,472.766667,2608.9,2361.533333,4507.733333,2491.366667,,960.966667,-4847.423077,2903,,1729.566667,163.000000
834,0.5090401694,1.0426203087,-98.8519937561,49.2598048509,496.642857,2824.821429,2457.892857,4571.321429,2724.555556,,1002.785714,-4794.769231,2902.181818,,2025.222222,163.000000
835,1.0977078155,1.7529879585,-98.8061334068,49.2598048509,472.357143,2694.724138,2751,4514.37931,2494.103448,,925.241379,-4821.166667,2918.714286,,1911.620690,
836,0.8051236442,0.9830409203,-98.7602730575,49.2598048509,423.142857,3419.827586,2167.517241,5347.413793,2877.275862,,844.827586,-4778.269231,2939,,1977.172414,164.333333
837,1.107432282,1.5430237889,-98.7144127081,49.2598048509,375.964286,4453.321429,1658.535714,6409.928571,3399.75,,731.428571,-4728.08,2923.1875,,2113.285714,
838,1.0067929394,1.6002488997,-98.6226920095,49.2598048509,446.642857,2904.75,2493.857143,4906.535714,2515.035714,,854,-4829.190476,2876.846154,,1451.678571,
839,0.6999056846,1.147644788,-98.5768316602,49.2598048509,482.75,2612.655172,2724.586207,4501.758621,2390.275862,,906.714286,-4823.84,2875.375,,1424.482759,
840,0.7445777059,1.1290715763,-98.5309713108,49.2598048509,465.111111,2611.142857,2569.892857,4567.928571,2342.607143,,869.928571,-4861.888889,2873.857143,,1397.357143,
841,0.7365534726,1.0965717116,-98.4851109615,49.2598048509,485.357143,2337.551724,2716.896552,4185,2179.517241,,879.965517,-4855.045455,2872.3,,1369.482759,
842,1.4794774801,1.880811438,-98.4392506122,49.2598048509,495.896552,2312.172414,2870.103448,4125.965517,2216.241379,,919.642857,-4863.055556,2870.916667,,1341.275862,
843,1.0512714248,1.2083706441,-98.3933902628,49.2598048509,436.142857,2824.75,2427.481481,4849.178571,2445,,835.535714,-4873.083333,2877.416667,,1375.642857,163.000000
844,1.4428749681,1.706866014,-98.3475299135,49.2598048509,441.793103,2847.517241,2414.068966,4829.103448,2465.724138,,841.655172,-4900.391304,2868.153846,,1286.344828,
845,0.7347803414,0.9624717037,-98.2558092148,49.2598048509,343.965517,4042.37931,1600.413793,6333.827586,2971.034483,,652.896552,-4922.478261,2865.333333,,1229.965517,
