longitude,latitude,sif_mean_735,sif_mean_743,B_REFL_mean,COMP_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,R_REFL_mean,RAA_mean,SZA_mean,VIQ_mean,VZA_mean
-99.2188765508,49.7628591089,0.858068,1.307890,368.121795,162.000000,3820.948718,1562.579618,6118.000000,2875.522293,0.000000,695.309677,-4807.043796,2958.973684,2112.000000,2229.387097
-99.1730162014,49.7628591089,0.751718,1.168749,367.621795,162.000000,3889.929936,1556.339744,6173.801282,2920.579618,0.000000,692.719745,-4840.375000,2944.466667,2112.000000,2026.044872
-99.0812955028,49.7628591089,0.684345,1.068667,353.974194,163.000000,4069.630573,1435.432258,6373.467949,3013.974359,0.000000,669.365385,-4873.977778,2944.337662,2114.000000,1900.243590
-99.0354351535,49.7628591089,0.718675,1.109125,359.136364,163.000000,4126.350318,1462.605096,6352.318471,3087.557692,0.000000,687.038710,-4879.074074,2944.103896,2114.000000,1894.775641
-98.8519937561,49.7628591089,0.887981,1.424221,336.326923,161.000000,4472.575949,1478.734177,6663.626582,3278.764331,0.000000,653.767742,-4921.185714,2929.013333,2112.000000,1696.259494
-98.8061334068,49.7628591089,0.974065,1.500017,353.764331,162.000000,4361.458599,1656.594937,6484.803797,3259.363057,0.000000,689.448718,-4920.647482,2928.386667,2112.000000,1679.778481
-98.7602730575,49.7628591089,0.903945,1.453733,379.821656,162.333333,4172.471338,1867.335443,6210.088608,3217.605096,0.000000,742.203822,-4914.478261,2928.533333,2112.000000,1663.341772
-98.7144127081,49.7628591089,0.918059,1.373717,402.160256,162.333333,4081.348101,1963.012658,6044.803797,3215.702532,0.000000,784.012739,-4908.374101,2927.205479,2112.000000,1636.417722
-98.6685523588,49.7628591089,0.892260,1.362498,426.589744,162.000000,3745.770701,2198.535032,5679.554140,3044.687898,0.000000,824.789809,-4912.335878,2924.479452,2112.000000,1598.974522
-98.6226920095,49.7628591089,0.817124,1.247555,411.948387,162.333333,3649.382166,2212.388535,5658.541401,2925.324841,0.000000,790.700637,-4909.763780,2924.369863,2112.000000,1582.681529
-98.5309713108,49.7628591089,0.773040,1.164215,413.305732,162.000000,3587.569620,2141.500000,5583.778481,2885.784810,0.000000,790.490446,-4903.346154,2920.067568,2112.000000,1517.525316
-98.4851109615,49.7628591089,0.963558,1.381175,435.878981,162.000000,3595.803797,2129.936709,5522.892405,2950.424051,0.000000,832.770701,-4907.234375,2918.820513,2112.000000,1490.443038
-98.3933902628,49.7628591089,1.025060,1.510875,433.847134,162.500000,3365.544304,2332.227848,5344.227848,2805.924051,0.000000,838.544304,-4917.892308,2918.552632,2112.000000,1457.113924
-98.3475299135,49.7628591089,0.992895,1.249159,402.326923,162.333333,3509.337580,2158.738854,5572.885350,2848.694268,0.000000,796.269231,-4920.427481,2918.337662,2112.000000,1473.884615
-98.3016695642,49.7628591089,0.936696,1.111935,372.735484,163.400000,3718.897436,1877.923077,5893.070064,2912.286624,0.000000,741.256410,-4883.152672,2933.089744,2114.666667,1605.810458
-98.2099488655,49.7628591089,0.846012,1.285030,387.461538,164.000000,3783.125786,1833.358974,5883.452830,2996.547170,0.000000,770.301887,-4893.884058,2943.873418,2115.500000,1720.025478
-98.0723678175,49.7628591089,0.726373,1.182821,436.397436,165.000000,3084.598726,2140.439490,5062.019108,2614.929936,0.800000,829.834395,-4735.265152,2952.911392,2140.363636,1749.410959
-98.0265074682,49.7628591089,0.846904,1.220378,434.383117,164.769231,2630.333333,2069.500000,4657.660256,2288.269231,0.750000,812.845161,-4735.515873,2949.035714,2140.875000,1800.659864
-97.9806471189,49.7628591089,0.966544,1.335380,420.923077,164.777778,2382.459119,1913.056604,4469.704403,2091.641509,0.500000,784.905063,-4877.863636,2944.666667,2132.250000,1762.714286
-97.9347867695,49.7628591089,0.929055,1.392613,404.750000,161.800000,2261.719745,1798.120253,4406.556962,1977.765823,0.000000,754.835443,-4885.414815,2930.384615,2112.000000,1603.388535
-97.8430660709,49.7628591089,0.864199,1.262742,414.968354,163.000000,2199.503145,1777.566038,4307.044025,1956.335443,0.750000,767.651899,-4819.207407,2919.187500,2163.750000,1556.000000
-97.7972057215,49.7628591089,1.017876,1.396926,374.794872,164.538462,2588.234177,1583.905063,4946.417722,2106.764331,0.500000,701.318471,-4502.160839,2904.540230,2152.000000,1344.019355
-97.7513453722,49.7628591089,0.944005,1.270624,308.825806,164.200000,3015.910828,1252.687898,5763.407643,2213.929936,0.500000,587.853503,-3816.958621,2867.425000,2150.777778,705.741497
-97.7054850229,49.7628591089,0.873683,1.222239,273.538462,164.111111,3116.490446,1070.423077,6071.751592,2195.694268,0.500000,528.490446,-2940.862069,2843.917808,2150.777778,232.436620
-97.6596246735,49.7628591089,0.836853,1.215339,320.333333,162.444444,2916.639241,1234.726115,5609.544304,2176.821656,0.714286,605.373418,-3292.617021,2860.521739,2161.285714,496.830986
-97.5679039749,49.7628591089,0.770896,1.336228,403.314103,163.000000,2513.797468,1673.392405,4716.905063,2119.636943,0.800000,746.278481,-4626.533333,2940.312500,2170.166667,1910.384615
-97.5220436256,49.7628591089,0.736614,1.269624,402.675159,163.600000,2518.240506,1708.658228,4713.854430,2123.878981,0.750000,747.708861,-4693.941606,2960.432099,2168.000000,2229.966667
-97.4761832762,49.7628591089,0.794521,1.328267,420.264516,162.200000,2413.171975,1759.547771,4516.458599,2098.108280,0.500000,777.834395,-4768.014815,2970.784810,2148.500000,2418.376623
-97.4303229269,49.7628591089,0.770932,1.316481,415.096154,161.500000,2562.993671,1703.620253,4740.968354,2173.632911,0.000000,767.419355,-4750.592857,2968.740260,2112.000000,2536.410256
-97.3844625776,49.7628591089,0.704583,1.255389,452.828025,162.000000,2605.471338,1766.037975,4638.405063,2278.094937,0.666667,831.212903,-4738.827586,2976.525000,2719.714286,2630.361290
-97.3386022282,49.7628591089,0.715752,1.087794,462.579618,161.769231,2744.235669,1765.202532,4739.651899,2382.886076,0.666667,845.715190,-4755.958621,2961.592593,3267.333333,2334.013072
-97.2468815296,49.7628591089,0.747047,1.150263,508.872611,163.136364,2743.651899,1801.949367,4588.658228,2442.658228,1.125000,898.436709,-4137.900763,2923.651685,2925.818182,1650.451389
-97.2010211802,49.7628591089,0.711348,1.169401,571.264516,163.695652,2740.230769,1793.089744,4413.608974,2527.089744,1.000000,975.519231,-3700.875912,2912.472527,3110.312500,1832.816901
-97.1551608309,49.7628591089,0.670196,1.084152,558.292994,164.111111,2872.573248,1634.019108,4583.509554,2606.229299,1.000000,965.108280,-3983.652778,2919.060241,3477.000000,1835.610738
-97.1093004816,49.7628591089,0.630824,1.016887,531.140127,163.833333,2895.757962,1578.369427,4657.006369,2580.147436,0.500000,927.031847,-4094.433566,2925.358025,3291.454545,2042.655844
-97.0634401322,49.7628591089,0.663889,1.064445,524.088608,162.000000,2768.647799,1655.264151,4542.522013,2505.949367,0.000000,928.784810,-4779.206897,2952.611765,2931.200000,2195.528662
-97.0175797829,49.7628591089,0.697419,1.111308,507.254777,161.600000,2796.772152,1689.694268,4609.044304,2500.770701,0.000000,909.121019,-4766.392857,2951.604651,3477.333333,2228.745223
-96.9258590843,49.7628591089,0.704048,1.112678,483.840764,161.400000,2879.464968,1784.312102,4747.458599,2548.917722,0.000000,893.382166,-4769.401408,2949.092105,2112.000000,2228.560510
-96.8341383856,49.7628591089,0.829051,1.118495,436.554140,161.333333,2557.649682,1734.095541,4639.222930,2236.248408,0.000000,814.535484,-4811.120567,2935.041096,2112.000000,1936.684564
-96.7882780363,49.7628591089,0.874508,1.136911,392.980645,162.000000,2500.698718,1612.477419,4757.455128,2097.250000,0.666667,734.512987,-4815.235714,2939.866667,2158.000000,1846.854305
-96.7424176869,49.7628591089,0.831167,1.166249,397.000000,162.750000,2483.740506,1591.375796,4703.107595,2101.189873,0.750000,743.429487,-4783.437956,2953.297619,2163.750000,1999.858974
-96.6965573376,49.7628591089,0.695097,1.099041,407.541401,162.800000,2121.923567,1629.522293,4210.127389,1907.745223,0.800000,758.333333,-4747.610294,2953.244444,2167.200000,2064.655844
-96.6506969883,49.7628591089,0.705916,1.080891,393.886792,163.600000,2544.088050,1543.867925,4636.000000,2154.238994,0.666667,739.125786,-4763.460432,2951.694118,2147.500000,2099.814103
-96.6048366389,49.7628591089,0.842294,1.178206,347.772152,163.200000,3688.594937,1312.841772,5842.611465,2774.178344,0.500000,656.267516,-4777.007092,2947.589744,2136.333333,2090.673077
-96.5131159403,49.7628591089,0.979682,1.301774,355.108974,165.571429,4401.808917,1219.560510,6524.211538,3247.522293,0.833333,673.628205,-3222.246269,2909.887500,2137.933333,2475.035461
-96.467255591,49.7628591089,0.877682,1.149944,376.424837,166.411765,4017.344156,1276.012987,6133.772727,3049.155844,0.750000,716.850649,-1758.919355,2887.432099,2129.533333,2882.492188
-96.4213952416,49.7628591089,0.789543,1.040951,415.544872,165.800000,3624.075949,1393.525316,5620.797468,2924.012658,0.666667,804.069620,-2797.250000,2938.537500,2129.000000,2943.530303
-96.3755348923,49.7628591089,0.787880,1.039126,404.318182,165.375000,3526.967949,1309.057692,5553.780645,2846.602564,0.666667,792.134615,-2951.398438,2940.493506,2132.250000,3156.882813
-96.2838141936,49.7628591089,0.762515,1.179103,262.245033,163.461538,4167.428571,765.803922,7074.175325,2734.285714,0.833333,467.467532,2457.338843,2887.800000,2354.900000,3897.097087
-96.2379538443,49.7628591089,0.718281,1.106521,237.901316,165.615385,4429.358974,675.851613,7422.891026,2805.000000,0.857143,406.762821,1666.508929,2957.093750,2320.500000,4170.207921
-96.192093495,49.7628591089,0.740681,1.082214,255.437908,167.294118,4548.173077,712.961538,7358.839744,2924.544872,0.800000,433.423077,-2275.044643,3045.333333,3018.526316,3944.491071
-96.1462331456,49.7628591089,0.606656,0.912384,268.125000,166.136364,4457.877419,758.141935,7191.251613,2907.890323,0.500000,459.843137,-3735.327731,3067.316456,3159.684211,3685.560345
-96.1003727963,49.7628591089,0.583369,0.828177,270.564103,165.153846,4128.583333,786.445860,6969.732484,2718.885350,0.500000,477.425806,-1582.932836,2998.628205,2819.363636,3380.723077
-96.054512447,49.7628591089,0.587907,0.789270,271.788462,163.541667,4066.690323,821.179487,6904.634615,2703.238710,0.000000,487.167742,140.232394,2942.262500,2811.111111,3254.226950
-96.0086520976,49.7628591089,0.643719,0.907114,283.246835,163.666667,4145.816456,964.777070,6829.196203,2830.624204,0.000000,525.554140,159.034247,2940.012195,2660.000000,3390.078431
-95.916931399,49.7628591089,0.787800,1.106141,348.781457,165.842105,4101.232258,1481.766234,6398.812903,3015.792208,0.857143,657.658065,-779.205882,2963.394737,2306.176471,2510.089552
-95.8710710497,49.7628591089,0.769124,1.059663,362.561290,167.578947,3961.493590,1551.314103,6219.519231,2974.935897,0.857143,689.955128,713.436508,2958.013514,5240.909091,2144.403226
-95.8252107003,49.7628591089,0.551762,0.916543,323.847134,167.241379,3899.113924,1269.689873,6444.835443,2811.208861,0.833333,614.551282,2324.040323,2954.081395,5342.718750,2110.876033
-95.7334900017,49.7628591089,0.329364,0.616392,271.416667,166.406250,3570.713376,828.634615,6586.713376,2395.580645,0.666667,493.095541,255.575221,2990.012987,7131.928571,2417.882883
-95.6876296523,49.7628591089,0.367455,0.519775,299.878981,164.421053,3382.898089,932.461538,6221.382166,2370.051613,0.500000,553.025478,-2555.669643,3003.788732,7368.928571,2962.241071
-95.641769303,49.7628591089,0.318357,0.478227,298.006494,164.555556,3407.352941,918.019355,6280.625806,2368.756579,0.500000,542.694805,-1094.139535,2968.589744,14713.181818,2987.065574
-95.5959089537,49.7628591089,0.322026,0.550079,287.949045,164.866667,3469.006410,867.797468,6452.556962,2358.754839,0.500000,514.000000,1181.846715,2926.310811,12311.700000,2887.960630
-95.5500486043,49.7628591089,0.323918,0.553282,275.031847,164.545455,3471.379747,793.879747,6594.487342,2299.660256,0.666667,478.782051,4568.811189,2868.386667,12394.470588,2386.801471
-95.4583279057,49.7628591089,0.401646,0.549215,278.277419,165.022222,3263.980769,673.512987,6545.474359,2119.185897,0.750000,445.370130,6832.151261,2823.780488,10202.384615,2526.067797
-95.4124675564,49.7628591089,0.417191,0.539238,265.883871,165.800000,3224.012903,637.960526,6633.348387,2056.458065,0.800000,422.272727,8090.424779,2775.878049,10008.909091,2913.841584
-95.366607207,49.7628591089,0.466840,0.568391,226.123377,166.300000,3220.116129,600.840000,6911.522581,1983.400000,0.750000,366.142857,8970.685039,2753.250000,9255.947368,3512.372727
-95.2748865084,49.7628591089,0.547169,0.753189,238.316129,166.100000,3607.147436,665.205128,6972.685897,2258.269231,0.750000,384.071429,4318.348485,2810.688312,7882.166667,3204.788136
-95.229026159,49.7628591089,0.521099,0.876692,227.588235,165.320000,3404.754839,574.548387,6875.387097,2103.858065,0.800000,346.766234,4560.871212,2816.513889,8229.627907,3339.431034
-95.1831658097,49.7628591089,0.561709,0.935801,222.374194,165.066667,3200.675159,529.968153,6814.872611,1948.140127,0.750000,326.167742,5595.058824,2829.650000,10556.275862,3668.723214
-95.091445111,49.7628591089,0.646779,0.860242,249.452229,165.740741,3543.354430,629.375796,7022.585987,2172.936709,0.666667,374.980769,4502.522059,2853.810127,10724.481481,3139.519084
-94.953864063,49.7628591089,0.544025,0.710594,243.324675,169.500000,3981.384615,700.397436,7300.198718,2453.769231,0.500000,382.584416,-816.734375,2905.320988,4655.823529,3173.349650
-94.9080037137,49.7628591089,0.493440,0.680706,235.307190,167.076923,3842.703226,636.819355,7285.392157,2346.038710,0.000000,363.058442,-1508.819549,2890.461538,5264.307692,2919.506944
-94.8162830151,49.7628591089,0.500034,0.741088,227.675325,167.526316,3436.464516,522.057692,7165.935897,2048.673077,0.500000,327.767742,-1397.589147,2881.975904,9655.333333,2276.373984
-94.7704226657,49.7628591089,0.451706,0.712310,225.844156,167.814815,3567.987097,543.115385,7203.382166,2156.987261,0.500000,334.878981,-1295.294574,2891.686047,9267.043478,2429.428571
-94.7245623164,49.7628591089,0.435747,0.645786,216.941558,167.347826,3542.391026,527.461538,7214.273885,2147.936306,0.000000,330.713376,-489.865079,2908.804878,9405.440000,2922.140625
-94.6787019671,49.7628591089,0.548198,0.670605,220.798701,166.833333,3448.873418,493.265823,7178.872611,2064.632911,0.000000,321.617834,2439.761538,2887.094595,9819.047619,3026.554688
-94.5869812684,49.7628591089,0.470063,0.696103,190.326797,165.866667,2942.369427,388.535032,7096.286624,1709.570513,0.000000,268.636364,8162.533333,2755.482143,4763.529412,3690.782609
-94.5411209191,49.7628591089,0.405646,0.631628,171.541935,165.666667,2463.196203,347.866242,6848.573248,1434.859873,0.000000,252.206452,10055.912409,2712.688889,4929.500000,4174.397260
-94.4952605697,49.7628591089,0.350831,0.572111,188.623377,167.600000,2570.685897,386.653595,6801.019481,1532.329032,0.000000,277.305195,10814.014286,2702.581395,5528.000000,4463.593103
-94.4035398711,49.7628591089,0.399807,0.846719,227.567742,164.800000,3390.707006,501.579618,7153.756410,2042.904459,0.000000,333.356688,7310.811189,2795.750000,4259.047619,4084.358621
-94.0366570764,49.7628591089,0.346521,0.544487,185.864865,163.375000,2678.445161,407.393548,7145.535484,1504.902597,0.000000,251.434211,10049.993197,2715.000000,4746.571429,4460.956835
-93.9907967271,49.7628591089,0.365597,0.627956,173.293333,163.500000,2689.923077,383.461039,7259.166667,1497.800000,0.000000,237.673203,10300.833333,2712.707317,4949.538462,4539.873239
-93.9449363778,49.7628591089,0.346910,0.682081,149.118421,164.500000,2666.666667,335.307692,7442.773585,1455.189873,0.000000,209.254777,11390.553333,2681.029412,5596.800000,4768.027972
-93.8532156791,49.7628591089,0.400296,0.599291,140.302817,170.666667,2592.761290,315.894737,7473.238710,1403.909677,0.000000,197.915584,11259.528169,2682.611111,5528.000000,4794.273381
